Source;Target;Type
1;217;Undirected
3;431;Undirected
5;60;Undirected
7;413;Undirected
9;66;Undirected
9;113;Undirected
12;128;Undirected
17;99;Undirected
17;352;Undirected
19;411;Undirected
22;264;Undirected
23;351;Undirected
23;418;Undirected
24;339;Undirected
31;345;Undirected
31;477;Undirected
32;266;Undirected
36;135;Undirected
39;206;Undirected
41;237;Undirected
42;91;Undirected
46;204;Undirected
46;308;Undirected
48;300;Undirected
49;79;Undirected
49;190;Undirected
51;74;Undirected
51;114;Undirected
51;120;Undirected
52;315;Undirected
54;148;Undirected
55;253;Undirected
55;350;Undirected
55;419;Undirected
56;108;Undirected
58;195;Undirected
58;280;Undirected
59;166;Undirected
62;222;Undirected
64;368;Undirected
68;447;Undirected
71;315;Undirected
72;351;Undirected
73;323;Undirected
74;500;Undirected
75;354;Undirected
75;460;Undirected
78;111;Undirected
79;197;Undirected
81;478;Undirected
84;145;Undirected
84;405;Undirected
91;138;Undirected
97;231;Undirected
104;237;Undirected
104;488;Undirected
113;122;Undirected
113;416;Undirected
113;441;Undirected
115;265;Undirected
119;253;Undirected
120;186;Undirected
126;151;Undirected
126;220;Undirected
127;455;Undirected
129;455;Undirected
130;282;Undirected
131;472;Undirected
133;139;Undirected
136;153;Undirected
145;326;Undirected
147;207;Undirected
150;221;Undirected
151;359;Undirected
156;256;Undirected
165;434;Undirected
166;385;Undirected
167;403;Undirected
167;408;Undirected
173;443;Undirected
179;349;Undirected
179;419;Undirected
182;415;Undirected
186;375;Undirected
189;232;Undirected
190;370;Undirected
193;306;Undirected
196;335;Undirected
201;383;Undirected
204;485;Undirected
208;259;Undirected
219;331;Undirected
219;462;Undirected
220;251;Undirected
226;448;Undirected
228;282;Undirected
231;415;Undirected
232;388;Undirected
232;445;Undirected
238;427;Undirected
240;334;Undirected
247;427;Undirected
251;358;Undirected
266;452;Undirected
272;408;Undirected
273;433;Undirected
275;447;Undirected
285;288;Undirected
295;380;Undirected
299;493;Undirected
300;365;Undirected
306;500;Undirected
312;388;Undirected
314;487;Undirected
320;473;Undirected
322;462;Undirected
324;486;Undirected
326;341;Undirected
327;401;Undirected
328;461;Undirected
335;396;Undirected
361;393;Undirected
366;490;Undirected
367;374;Undirected
367;496;Undirected
384;458;Undirected
390;468;Undirected
391;444;Undirected
404;466;Undirected
414;472;Undirected
417;449;Undirected
434;442;Undirected
438;447;Undirected
443;484;Undirected
447;464;Undirected
459;467;Undirected
