1;250;Undirected
1;482;Undirected
1;838;Undirected
1;849;Undirected
1;3116;Undirected
1;4832;Undirected
2;111;Undirected
2;184;Undirected
2;1644;Undirected
2;2117;Undirected
2;2233;Undirected
2;2618;Undirected
2;3299;Undirected
2;3488;Undirected
3;135;Undirected
3;932;Undirected
3;1833;Undirected
3;2291;Undirected
3;3117;Undirected
3;3680;Undirected
3;3731;Undirected
4;1312;Undirected
4;1738;Undirected
4;2557;Undirected
4;2933;Undirected
4;3043;Undirected
4;3674;Undirected
4;4210;Undirected
4;4345;Undirected
4;4940;Undirected
5;648;Undirected
5;1849;Undirected
5;2142;Undirected
5;3726;Undirected
5;4181;Undirected
5;4727;Undirected
5;4762;Undirected
5;4959;Undirected
6;24;Undirected
6;664;Undirected
6;868;Undirected
6;1122;Undirected
6;1132;Undirected
6;1143;Undirected
6;3670;Undirected
6;3906;Undirected
6;4160;Undirected
6;4650;Undirected
7;309;Undirected
7;1998;Undirected
7;2240;Undirected
7;2764;Undirected
8;2478;Undirected
8;2650;Undirected
8;3315;Undirected
8;3917;Undirected
8;4397;Undirected
8;4889;Undirected
9;378;Undirected
9;619;Undirected
9;755;Undirected
9;998;Undirected
9;1460;Undirected
9;1794;Undirected
9;2396;Undirected
9;2451;Undirected
9;4681;Undirected
9;4998;Undirected
10;125;Undirected
10;237;Undirected
10;1172;Undirected
10;1173;Undirected
10;1519;Undirected
10;1534;Undirected
10;1635;Undirected
10;3066;Undirected
11;272;Undirected
11;438;Undirected
11;552;Undirected
11;968;Undirected
11;1207;Undirected
11;1479;Undirected
11;1562;Undirected
11;2281;Undirected
11;3732;Undirected
11;4031;Undirected
11;4431;Undirected
11;4753;Undirected
12;423;Undirected
12;1108;Undirected
12;1714;Undirected
12;2155;Undirected
12;2366;Undirected
12;2382;Undirected
12;2565;Undirected
12;3029;Undirected
12;3170;Undirected
12;4349;Undirected
13;22;Undirected
13;298;Undirected
13;471;Undirected
13;1537;Undirected
13;2231;Undirected
13;4433;Undirected
13;4653;Undirected
13;4902;Undirected
13;4960;Undirected
14;422;Undirected
14;930;Undirected
14;3740;Undirected
14;3988;Undirected
14;4765;Undirected
14;4808;Undirected
14;4941;Undirected
15;1021;Undirected
15;1388;Undirected
15;1574;Undirected
15;2069;Undirected
15;3732;Undirected
15;3820;Undirected
15;4784;Undirected
15;4892;Undirected
16;199;Undirected
16;273;Undirected
16;463;Undirected
16;1784;Undirected
16;2216;Undirected
16;3605;Undirected
16;3698;Undirected
17;205;Undirected
17;658;Undirected
17;2956;Undirected
17;3232;Undirected
17;4430;Undirected
17;4687;Undirected
17;4813;Undirected
17;4929;Undirected
17;4967;Undirected
18;715;Undirected
18;756;Undirected
18;1071;Undirected
18;1211;Undirected
18;4313;Undirected
18;4849;Undirected
19;723;Undirected
19;745;Undirected
19;1656;Undirected
19;1752;Undirected
19;2458;Undirected
19;4188;Undirected
19;4613;Undirected
20;201;Undirected
20;380;Undirected
20;873;Undirected
20;2277;Undirected
20;3240;Undirected
20;4085;Undirected
20;4334;Undirected
21;1231;Undirected
21;2097;Undirected
21;3962;Undirected
21;4549;Undirected
21;4737;Undirected
22;1017;Undirected
22;1082;Undirected
22;1766;Undirected
22;2472;Undirected
22;2636;Undirected
22;2706;Undirected
22;4419;Undirected
22;4445;Undirected
22;4871;Undirected
23;3012;Undirected
23;3145;Undirected
23;3422;Undirected
23;3506;Undirected
23;3714;Undirected
23;4638;Undirected
24;3161;Undirected
24;3422;Undirected
24;3948;Undirected
24;4293;Undirected
24;4770;Undirected
25;40;Undirected
25;249;Undirected
25;603;Undirected
25;775;Undirected
25;1474;Undirected
25;1721;Undirected
25;1873;Undirected
25;1926;Undirected
25;2215;Undirected
25;3444;Undirected
25;4012;Undirected
25;4813;Undirected
26;462;Undirected
26;1230;Undirected
26;1612;Undirected
26;1669;Undirected
26;2205;Undirected
26;3873;Undirected
26;4908;Undirected
27;234;Undirected
27;518;Undirected
27;538;Undirected
27;1027;Undirected
27;1102;Undirected
27;1744;Undirected
27;1830;Undirected
27;1975;Undirected
27;2126;Undirected
27;3886;Undirected
27;4099;Undirected
27;4103;Undirected
27;4675;Undirected
28;1126;Undirected
28;1963;Undirected
28;2636;Undirected
28;3374;Undirected
28;3460;Undirected
28;3980;Undirected
28;4141;Undirected
28;4397;Undirected
29;1400;Undirected
29;2405;Undirected
29;3237;Undirected
29;3528;Undirected
29;3709;Undirected
29;4258;Undirected
29;4936;Undirected
30;691;Undirected
30;996;Undirected
30;1858;Undirected
30;2031;Undirected
30;2647;Undirected
30;3533;Undirected
30;3744;Undirected
30;4931;Undirected
30;4978;Undirected
31;275;Undirected
31;593;Undirected
31;647;Undirected
31;1132;Undirected
31;1189;Undirected
31;1653;Undirected
31;2065;Undirected
31;2520;Undirected
31;2564;Undirected
31;2892;Undirected
31;4822;Undirected
32;707;Undirected
32;826;Undirected
32;1044;Undirected
32;1971;Undirected
32;2832;Undirected
32;3114;Undirected
32;3143;Undirected
33;1465;Undirected
33;2154;Undirected
