Source;Target;Type
1;2;Undirected
1;3;Undirected
1;4;Undirected
2;3;Undirected
2;4;Undirected
3;4;Undirected
5;3;Undirected
5;1;Undirected
5;4;Undirected
6;1;Undirected
6;5;Undirected
6;4;Undirected
7;4;Undirected
7;2;Undirected
7;6;Undirected
8;7;Undirected
8;1;Undirected
8;5;Undirected
9;2;Undirected
9;1;Undirected
9;6;Undirected
10;1;Undirected
10;3;Undirected
10;6;Undirected
11;3;Undirected
11;10;Undirected
11;2;Undirected
12;1;Undirected
12;2;Undirected
12;10;Undirected
13;10;Undirected
13;2;Undirected
13;5;Undirected
14;7;Undirected
14;12;Undirected
14;3;Undirected
15;10;Undirected
15;6;Undirected
15;7;Undirected
16;5;Undirected
16;4;Undirected
16;14;Undirected
17;2;Undirected
17;13;Undirected
17;5;Undirected
18;15;Undirected
18;9;Undirected
18;3;Undirected
19;16;Undirected
19;4;Undirected
19;6;Undirected
20;7;Undirected
20;13;Undirected
20;6;Undirected
21;11;Undirected
21;17;Undirected
21;20;Undirected
22;15;Undirected
22;6;Undirected
22;5;Undirected
23;10;Undirected
23;5;Undirected
23;2;Undirected
24;12;Undirected
24;23;Undirected
24;13;Undirected
25;23;Undirected
25;12;Undirected
25;15;Undirected
26;9;Undirected
26;8;Undirected
26;19;Undirected
27;15;Undirected
27;4;Undirected
27;9;Undirected
28;25;Undirected
28;15;Undirected
28;3;Undirected
29;6;Undirected
29;7;Undirected
29;26;Undirected
30;18;Undirected
30;25;Undirected
30;1;Undirected
